Master_Plot,NO_LichenSpp,NO_LichensMatrix,NO_indeterminatespp,NO_PBAbsent,NO_PBCyanobact,NO_PBGreencoccoid,NO_PBGreentrent,NO_PBPolymorph,NO_PBGreenStichoc,NO_Bark,NO_Humus,NO_Lichen,NO_noncalc.rock,NO_Wood,NO_Leaf,NO_Calc.rock,NO_Fungi,NO_Hepatics,NO_EpiphyticMacrolichenNO_,NO_EpiphyticMacrolichenYes,NO_Lichenized,NO_nonLichenized,NO_ParasiteNo,NO_ParasiteYes,NO_Crustose,NO_Foliose,NO_Fruticose,NO_Polymorp,NO_Squam,NO_Umbilicate,NO_FungalAsexual,NO_LichenizedAsexual,NO_Polymorphic,NO_Sexual,Date_Inventoried,DateSampled,State,Plot_Code_AUTOFILLS,SiteNameEmu,County,OwnerEmuIRN,Jurisdiction,Locality_Data,HabitatData,General_Geology,Precise_Geology,Latitude,Longitude,Elevm,Slope,Aspect,Collecting_Time_Mins,NO_Collectors,LichenDiversity,NO_VoucherCollections,WetDryDay,RockCover,LargeTrees,CanopyCover,Understory,Weediness,Recruitment,Litter,Loggyness,PatchSize,Neighborhood,DistancetoCore,SumHabitatQuality,SumDBH,AverDBH,NO_Shrubspp,NO_Treespp,NO_Woodyspp,Notes
17,73,72,1,2,6,55,9,0,0,54,0,2,1,0,0,15,0,0,48,24,70,2,69,3,44,26,0,0,1,1,0,21,1,50,12/24/2016,12/24/2016,AL,AL-MP-17,JMS-Jericho,Jackson,253036,Alabama_Department_of_Conservation_and_Natural_Resources,"James D. Martin-Skyline Wildlife Management Area, Walls of Jericho, slope of S/W shore of Turkey Creek, 0.5 mi NW of confluence with Hurricane Creek","Narrow E-W running limestone canyon with mixed hardwood forest (Acer saccharum, Carpinus, Cladrastris, Fagus, Liriodendron, Quercus rubra)",Calcareous,Limestone,34.98875,-86.10064,266,25,North_facing,30,2,73,100,Wet,7,6,5,25,15,10,5,3,10,5.2,5,89.2,643.5,91.93,0,7,7, 
18,94,91,3,2,9,68,12,0,0,64,2,1,13,1,0,10,0,0,62,29,89,2,90,1,51,31,2,0,6,1,1,31,1,58,12/24/2016,12/24/2016,AL,AL-MP-18,JMS-Hurricane Creek,Jackson,253036,Alabama_Department_of_Conservation_and_Natural_Resources,"James D. Martin-Skyline Wildlife Management Area, slopes above E shore of Hurricane Creek, along Walls of Jericho Trail 0.5 mi W of AL79, W of Jericho","Dry ridgetop mixed hardwood forest (Acer saccharum, Nyssa, Oxydendrum, Quercus alba, Q. rubra), with mixed sandstone and limestone rock outcrops",Mixed,Mixed,34.97881,-86.08822,351,5,West_facing,90,2,94,123,Wet,5,6,5,25,15,10,5,3,10,5.2,5,89.2,462,66,0,5,5, 
19,75,74,1,2,2,66,4,0,0,54,13,0,5,2,0,0,0,0,50,24,72,2,74,0,35,22,0,12,5,0,2,34,7,31,12/29/2016,12/29/2016,AL,AL-MP-19,BNF-Quillan Creek,Lawrence,253038,United_States_National_Forest_Service,"Bankhead National Forest, Sipsey Wilderness Area, slopes above tributary to Quillan Creek, E of Lawrence CR22/Kinlock Rd., 1.2 mi SE of jct w/ Lawrence CR303","Sandstone Cladonia glade dominated by Pinus virginiana with encroaching Pinus taeda and hardwoods (Carya, Quercus alba, Q. prinus) and thickets of Vaccinium",Non_calcareous,Sandstone,34.32911,-87.50922,285,0,East_facing,75,2,75,123,Dry,5,4,5,25,15,10,5,5,8,1.8,5,83.8,99.5,49.75,1,5,6, 
20,81,79,2,1,5,58,15,0,0,57,7,1,14,0,0,0,0,0,55,24,78,1,78,1,46,22,5,4,2,0,1,38,1,39,12/29/2016,12/29/2016,AL,AL-MP-20,BNF-Hubbard Creek,Lawrence,253038,United_States_National_Forest_Service,"Bankhead National Forest, Sipsey Wilderness Area, slopes above N shore of Hubbard Creek, W of Kinlock Falls, NE of Lawrence CR2/Winston CR3434/Kinlock Rd., 2.5 mi N of jct w/ Winston CR60/Cranal Rd.","Riparian ravine with massive sandstone cliffs and overhangs and acid forest with mixed hardwoods (Alnus, Carpinus, Cornus, Fagus, Hamamelis, Magnolia, Ostrya, Oxydendrum, Quercus alba) and conifers (Tsuga canadensis dominant, Pinus taeda) with understory of Kalmia",Non_calcareous,Sandstone,34.308,-87.50314,207,15,East_facing,75,2,81,98,Dry,5,10,5,25,9,5,5,5,8,1.8,5,78.8,855.5,95.06,2,11,13, 
21,108,105,3,1,6,67,30,1,0,85,2,0,16,0,0,2,0,0,73,32,104,1,105,0,64,28,5,0,6,2,3,47,1,54,1/1/2017,1/1/2017,AL,AL-MP-21,BNF-West Bee,Lawrence,253038,United_States_National_Forest_Service,"Bankhead National Forest, Sipsey Wilderness Area, slopes above E shore of West Bee Branch, 0.5 mi N of confluence of West Bee Branch and East Bee Branch, 1.0 mi N of confluence w/ Thompson Creek","Virgin old-growth forest dominated by hardwoods in climax state (primarily Liriodendron and Fagus, with Acer saccharum, Carya, Ilex, Magnolia macrophylla, Oxydendrum, Quercus rubra) and numerous old growth hemlock (Tsuga, recruiting) in narrow N-S canyon with extensive sandstone walls and falls",Non_calcareous,Sandstone,34.3311,-87.4506,251,20,West_facing,90,2,108,154,Wet,5,10,5,25,15,10,5,5,10,5.2,5,95.2,982,245.5,0,9,9, 
22,117,115,2,2,4,97,12,0,0,101,6,1,3,4,0,0,0,0,68,47,113,2,114,1,60,40,3,5,7,0,2,58,5,50,1/3/2017,1/3/2017,AL,AL-MP-22,BNF-Above West Bee,Lawrence,253038,United_States_National_Forest_Service,"Bankhead National Forest, Sipsey Wilderness Area, ridge above headwaters of West Bee Branch, ~0.3 mi NE of West Bee Branch Falls, 0.2 mi W of Horse Trail 224, ~0.5 mi N of jct w/ FS Trail 204/East Bee Ridge Trail","Dry ridge transitioning to riparian corridor, forest dominated by Quercus prinus with occasional other hardwoods (Acer rubrum, Carya, Fagus, Liriodendron, Magnolia macrophylla, Oxydendrum, Quercus alba, Q. falcata, Q. rubra) and understory of Vaccinium",Non_calcareous,Sandstone,34.3408,-87.4422,281,25,West_facing,90,2,117,181,Dry,1,6,5,25,15,10,5,3,10,5.2,5,89.2,936,117,1,10,11, 
23,119,117,2,0,6,82,29,0,0,102,2,0,11,0,0,2,0,0,78,39,117,0,117,0,73,31,7,2,3,1,2,45,2,68,1/3/2017,1/3/2017,AL,AL-MP-23,BNF-Borden Creek,Lawrence,253038,United_States_National_Forest_Service,"Bankhead National Forest, Sipsey Wilderness Area, slopes above N/W shore of Borden Creek, just S of jct of FS Trails 224, 207 and 200, 0.5 mi W of terminus of Lawrence CR5","Riparian high humidity mesic riparian forest dominated by Fagus (mature), Ilex and Tsuga (mature) with Pinus taeda (mature) and mixed hardwoods (Acer rubrum, A. saccharum, Carpinus, Carya, Liriodendron, Magnolia macrophylla, Ostrya, Quercus alba, Q. prinus, Symplocos) and sandstone outcrops",Non_calcareous,Sandstone,34.3092,-87.3947,197,20,East_facing,70,2,119,156,Dry,3,6,5,25,15,10,5,3,10,5.2,5,89.2,980.5,163.42,1,16,17, 
24,70,70,0,1,1,62,6,0,0,53,4,1,9,3,0,0,0,0,41,29,69,1,68,2,32,28,4,4,2,0,0,38,3,29,3/28/2017,3/28/2017,AL,AL-MP-24,TNF-Rebecca Mountain,Clay,253039,United_States_National_Forest_Service,"Talladega National Forest, Hollins Wildlife Management Area, Rebecca Mountain, S of AL148 at jct w/ FSR607 and Pinhoti Trail","ak (Quercus marilandica, Q, prinus) dominated mixed hardwood (Acer, Carya, Quercus) forest with sparse pine (Pinus echinata, P. palustris, P. tadea, P. virginiana), Vaccinium understory and non-calcareous rock outcrops",Non_calcareous,Sandstone,33.19462,-86.0639,384,20,North_facing,60,2,70,90,Dry,4,5,5,20,11,10,5,1,8,6,5,76, , ,1,7,8,tree dbh data lost
25,84,82,2,1,6,67,8,0,0,74,1,1,5,1,0,0,0,0,49,33,81,1,81,1,47,28,2,2,3,0,0,35,3,44,5/5/2017,5/5/2017,AL,AL-MP-25,JMS-Money Hollow,Jackson,253036,Alabama_Department_of_Conservation_and_Natural_Resources,"James D. Martin – Skyline Wildlife Management Area, between Money Hollow Rd. and AL79, 0.1 mi N of jct of Money Hollow Rd. and Tate Cove Rd.","Mixed hardwood (Acer rubrum, Carya, Fagus, Ilex opaca, Liquidambar, Nyssa, Oxydendron, Sassafras, Prunus, Quercus alba, Q. prinus, Q. velutina) – conifer (Juniperus, Pinus taeda) forest with Vaccinium and old cemetery",Non_calcareous,Sandstone,34.94088,-86.08268,494,0,Flat,50,2,84,117,Wet,.5,4,5,15,15,10,5,3,8,3.2,4,72.2,509,84.83,1,14,15, 
26,99,99,0,0,9,82,6,2,0,81,1,0,13,1,0,3,0,0,53,46,99,0,99,0,47,43,3,2,3,1,0,54,2,43,5/5/2017,5/5/2017,AL,AL-MP-26,JMS-Jacobs Mountain,Jackson,253036,Alabama_Department_of_Conservation_and_Natural_Resources,"James D. Martin – Skyline Wildlife Management Area, Jacobs Mountain Tract, slopes above tributary to Guess Creek, 0.14 mi S of CR138 at Fowler Narrows","Shaded sandstone and limestone rock outcrops on N-facing slope in mixed hardwood (Acer rubrum, Carya Fagus, Liriodendron, Nyssa, Quercus prinus, Sassafras, Tilia) forest with Viburnum understory",Mixed,Mixed,34.82945,-86.16644,472,32,North_facing,75,2,99,146,Wet,6.5,6,5,15,15,10,5,3,8,2.8,3,72.8,535,107,1,8,9, 
27,93,90,3,0,2,67,21,0,0,71,6,0,12,1,0,0,0,0,65,25,90,0,90,0,56,22,4,6,2,0,3,35,3,49,5/7/2017,5/7/2017,AL,AL-MP-27,BNF-Thomson Creek,Lawrence,253038,United_States_National_Forest_Service,"Bankhead National Forest, Sipsey Wilderness Area, slopes above N shore of Sipsey River, 0.3 mi SW of confluence w/ Thompson Creek and 1.8 mi NE of confluence with Bee Branch","Sandstone rock houses along steep SW-facing slopes with mixed hardwood (Acer saccharum, Asimina, Celtis, Betula lenta, Fagus, Ilex opaca, Lireodendron, Magnolia macrophylla, Quercus prinus, Symplocos, Tilia) - conifers (Pinus taeda, Tsuga canadensis) with Kalmia understory",Non_calcareous,Sandstone,34.32094,-87.46672,189,20,West_facing,75,2,93,143,Dry,9,6,5,25,15,10,5,3,10,5.2,5,89.2,501,83.5,2,13,15, 
28,47,45,2,0,3,30,11,1,0,37,2,0,5,1,0,0,0,0,31,14,45,0,45,0,26,12,2,3,2,0,0,20,3,22,5/7/2017,5/7/2017,AL,AL-MP-28,BNF-Bee Confluence,Lawrence,253038,United_States_National_Forest_Service,"Bankhead National Forest, Sipsey Wilderness Area, confluence W-facing slopes above confluence of East Bee Branch and West Bee Branch, 0.5 mi N of confluence of Bee Branch with Sipsey River","Mature mixed hardwood (Fagus dominant, Acer saccharum, Betula lenta, Ilex opaca, Magnolia macrophylla, Quercus alba) – conifer (Tsuga) forest below large sandstone cliffs",Non_calcareous,Sandstone,34.32486,-87.45081,191,20,East_facing,35,2,47,61,Dry,5,10,5,20,15,10,5,3,10,5.2,5,88.2,689,172.25,0,8,8, 
29,53,53,0,2,1,43,7,0,0,50,0,1,2,0,0,0,0,0,33,20,51,2,52,1,32,18,3,0,0,0,1,23,0,29,5/9/2017,5/9/2017,AL,AL-MP-29,WNWR-Rockhouse,Morgan,253041,United_States_Fish_and_Wildlife_Service,"Wheeler National Wildlife Refuge, S of Henderson Rd. 1.25 mi W of jct w/ Rockhouse Rd.","Disturbed bottomland mixed hardwood forest (Acer rubrum, Carya ovata, Fraxinus americana, Liquidambar, Quercus velutina, Q. phellos, Ptelea (Rutaceae), Ulmus rubra) surrounded by agricultural fields",Non_calcareous,Non_calcareous,34.58146,-86.86487,170,0,Flat,35,2,53,81,Dry,0,6,5,3,4,5,3.5,0,1,.4,0,27.9,888,148,1,9,10, 
30,6,5,1,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,2,3,5,0,5,0,2,3,0,0,0,0,0,2,0,3,5/9/2017,5/9/2017,AL,AL-MP-30,WNWR-Beaverdam Lookout,Morgan,253041,United_States_Fish_and_Wildlife_Service,"Wheeler National Wildlife Refuge, Beaverdam Peninsula Observation Tower, 0.14 mi S of jct between access road and Pyror Rd./CR71",Observation tower amid planted corn (Zea mays) field,Non_calcareous,Non_calcareous,34.61009,-86.85401,165,0,Flat,35,2,6,6,Dry,.5,0,0,0,2,5,0,0,1,.2,0,8.2,0,0,0,0,0,cornfield with no trees
31,23,21,2,1,0,18,2,0,0,18,0,0,1,2,0,0,0,0,13,8,20,1,21,0,12,9,0,0,0,0,0,12,0,9,5/9/2017,5/9/2017,AL,AL-MP-31,WNWR-Mooresville,Morgan,253041,United_States_Fish_and_Wildlife_Service,"Wheeler National Wildlife Refuge, just N of Limestone Creek floodplain, N of CR71/East St. 0.8 mi SE of jct w/ North St., S of Mooresville","Disturbed planted Pinus taeda stand with mixed hardwoods (Acer rubrum, Carya, Celtis, Cercis, Fagus, Liquidambar, Ptelea, Prunus, Quercus phellos, Q. velutina, Ulmus) and Ligustrum understory, surrounded by agricultural fields",Non_calcareous,Non_calcareous,34.61837,-86.87563,166,0,Flat,30,2,23,41,Dry,0,3,3,4,0,5,4,3,1,1,0,24,396,99,1,10,11, 
32,87,84,3,1,9,61,13,0,0,73,0,0,0,0,0,11,0,0,49,35,83,1,84,0,45,32,4,0,2,1,2,32,1,49,5/11/2017,5/11/2017,AL,AL-MP-32,JMS-Spring Hollow,Jackson,253036,Alabama_Department_of_Conservation_and_Natural_Resources,"James D. Martin – Skyline Wildlife Management Area, N-facing slopes of Spring Hollow, 0.2 mi E of Tate Spring, S of Tate Cove Rd. 2.5 mi E of jct w/ Money Hollow Rd. and 2.6 mi W of jct w/ AL79","Limestone cliffs above stream with mixed hardwood (Acer saccharum, Carpinus, Carya, Cercis, Fagus, Fraxinus, Gleditsia, Liriodendron, Ostrya, Quercus alba, Sassafras) - Juniperus forest and understory of Hamamelis and Hydrangea",Calcareous,Limestone,34.94222,-86.05278,271,15,West_facing,75,2,87,158,Dry,6.5,6,5,20,15,10,5,5,10,5.2,5,86.2,549,78.43,2,14,16, 
33,43,42,1,1,1,34,6,0,0,40,0,1,1,0,0,0,0,0,25,17,41,1,41,1,25,16,1,0,0,0,1,19,0,22,5/9/2017,5/9/2017,AL,AL-MP-33,SCWMA-Spring Creek,Morgan,253036,United_States_Fish_and_Wildlife_Service,"Swan Creek Wildlife Management Area, floodplain on S shore of tributary to Spring Creek, E of CR45/Harris Station Rd. 0.25 mi S of jct w/ CR14/Laughmiller Rd.","Disturbed bottomland hardwood (Acer rubrum, Carpinus, Carya ovata, Fraxinus, Liquidambar, Liriodendron, Quercus velutina, Ulmus) forest",Non_calcareous,Non_calcareous,34.68509,-86.9933,190,0,Flat,30,2,43,60,Dry,0,4,5,5,0,7.5,4,0,2,3.2,0,30.7,627,104.5,0,9,9, 
